Date,AAPL,GOOG,MSFT,NBCC.NS,TATAMOTORS.NS,TCS.NS
2023-01-02,,,,26.858646392822266,392.3625183105469,3104.45849609375
2023-01-03,123.63253021240234,89.27713775634766,235.24005126953125,27.222944259643555,391.4681091308594,3151.957275390625
2023-01-04,124.90769958496094,88.29180908203125,224.94989013671875,26.49435043334961,383.2193603515625,3155.097900390625
2023-01-05,123.5831069946289,86.36095428466797,218.28286743164062,26.36187744140625,384.5113220214844,3151.718994140625
2023-01-06,128.13023376464844,87.7444076538086,220.85540771484375,25.567049026489258,379.6415710449219,3056.96044921875
2023-01-09,128.65415954589844,88.38139343261719,223.0057373046875,25.898225784301758,387.04559326171875,3160.14306640625
2023-01-10,129.2274627685547,88.81930541992188,224.7044219970703,25.633283615112305,410.35076904296875,3128.208251953125
2023-01-11,131.9557342529297,91.82508087158203,231.4990234375,25.898225784301758,415.61810302734375,3168.4716796875
2023-01-12,131.87667846679688,91.47673034667969,234.18939208984375,25.633283615112305,409.704833984375,3173.849609375
2023-01-13,133.2111358642578,92.36253356933594,234.89634704589844,26.13005256652832,408.9594421386719,3212.114990234375
2023-01-16,,,,26.163169860839844,410.4501647949219,3237.85009765625
2023-01-17,134.37759399414062,91.72555541992188,235.99607849121094,25.666400909423828,412.7359619140625,3280.920654296875
2023-01-18,133.65597534179688,91.34732818603516,231.53831481933594,25.633283615112305,405.87860107421875,3292.18603515625
2023-01-19,133.71531677246094,93.4673080444336,227.72862243652344,25.401456832885742,398.2757873535156,3275.7734375
2023-01-20,136.28541564941406,98.81198120117188,235.86842346191406,25.169631958007812,400.6609802246094,3266.062255859375
2023-01-23,139.48817443847656,100.73287963867188,238.18568420410156,24.805334091186523,405.87860107421875,3316.367431640625
2023-01-24,140.891845703125,98.74230194091797,237.65545654296875,25.20275115966797,419.543701171875,3337.149658203125
2023-01-25,140.2295684814453,96.27400207519531,236.2513885498047,24.573511123657227,416.4627990722656,3330.788330078125
2023-01-26,142.30543518066406,98.69255828857422,243.50750732421875,,,
2023-01-27,144.25279235839844,100.23523712158203,243.66461181640625,23.646207809448242,442.8489074707031,3312.628662109375
2023-01-30,141.35646057128906,97.48824310302734,238.31332397460938,23.745561599731445,440.91094970703125,3334.576171875
2023-01-31,142.63162231445312,99.39920806884766,243.32095336914062,24.24233055114746,449.30877685546875,3261.788818359375
2023-02-01,143.75852966308594,100.95184326171875,248.1714324951172,23.745561599731445,443.8924255371094,3310.00634765625
2023-02-02,149.08657836914062,108.287109375,259.80682373046875,22.851377487182617,442.0538635253906,3360.5546875
2023-02-03,152.72430419921875,104.72398376464844,253.6700439453125,23.11631965637207,442.6998291015625,3381.822265625
2023-02-06,149.98611450195312,102.98223114013672,252.11862182617188,23.11631965637207,439.2711486816406,3360.116943359375
2023-02-07,152.87255859375,107.53068542480469,262.71319580078125,22.785140991210938,432.7615966796875,3372.35400390625
2023-02-08,150.17391967773438,99.52857971191406,261.8982238769531,23.24879264831543,437.38287353515625,3418.531982421875
2023-02-09,149.13600158691406,95.00999450683594,258.84454345703125,23.11631965637207,434.0535583496094,3438.68310546875
2023-02-10,149.5023193359375,94.4128189086914,258.3339538574219,23.11631965637207,443.0973815917969,3435.478271484375
2023-02-13,152.31394958496094,94.55215454101562,266.40509033203125,23.050085067749023,438.3269958496094,3381.919189453125
2023-02-14,151.6704559326172,94.50240325927734,267.2396240234375,22.983848571777344,437.830078125,3399.108642578125
2023-02-15,153.7791748046875,96.64225006103516,265.1036682128906,22.81825828552246,441.4078674316406,3419.066162109375
2023-02-16,152.1753387451172,95.32848358154297,258.0458679199219,22.851377487182617,438.87359619140625,3455.38671875
2023-02-17,151.02694702148438,94.14408874511719,254.01991271972656,22.52019691467285,437.1841125488281,3400.128662109375
2023-02-20,,,,22.12278175354004,440.2649841308594,3386.6787109375
2023-02-21,146.99755859375,91.6160659790039,248.71429443359375,22.056547164916992,433.80511474609375,3351.425537109375
2023-02-22,147.4232635498047,91.36724090576172,247.5724639892578,21.5928955078125,426.7986145019531,3303.40283203125
2023-02-23,147.9083709716797,90.64067840576172,250.78143310546875,22.056547164916992,430.5254821777344,3315.299072265625
2023-02-24,145.24525451660156,88.92878723144531,245.3183135986328,21.857839584350586,425.109130859375,3302.334228515625
2023-02-27,146.44314575195312,89.67525482177734,246.2436065673828,22.023427963256836,415.36962890625,3235.713623046875
2023-02-28,145.93824768066406,89.87432098388672,245.5151824951172,22.056547164916992,418.1026611328125,3217.261962890625
2023-03-01,143.8592071533203,90.08332824707031,242.41448974609375,22.42084312438965,423.36993408203125,3288.009765625
2023-03-02,144.4532470703125,91.87483978271484,247.17874145507812,23.977386474609375,417.8542175292969,3225.61376953125
2023-03-03,149.52210998535156,93.57677459716797,251.2932586669922,23.579971313476562,425.3575744628906,3245.716796875
2023-03-06,152.294189453125,95.12942504882812,252.8485565185547,23.712444305419922,437.38287353515625,3274.5595703125
2023-03-07,150.08641052246094,93.72606658935547,250.17112731933594,,,
2023-03-08,151.34373474121094,94.20380401611328,249.72817993164062,24.0105037689209,436.5877990722656,3292.573974609375
2023-03-09,149.08651733398438,92.22319793701172,248.36978149414062,24.54039192199707,429.5316467285156,3240.569580078125
2023-03-10,147.0173797607422,90.58096313476562,244.6981658935547,24.937807083129883,433.15911865234375,3234.88818359375
2023-03-13,148.96768188476562,91.2279052734375,249.9447021484375,24.142976760864258,419.7921447753906,3187.253173828125
2023-03-14,151.06654357910156,93.80569458007812,256.7071838378906,23.54685401916504,414.0776672363281,3122.186767578125
