Date,Close,High,Low,Open,Volume
2023-01-02,3104.459228515625,3109.599437575933,3079.4727789399526,3104.030935857813,709547
2023-01-03,3151.957275390625,3160.190812111221,3089.086565316487,3095.464012345087,1245178
2023-01-04,3155.09814453125,3167.1870117860753,3128.0176410696577,3147.5308668607604,1231668
2023-01-05,3151.718994140625,3176.6578003737573,3123.972001404942,3169.899468706498,1826057
2023-01-06,3056.961181640625,3142.6290062625853,3045.967097669704,3141.1535694718823,2488376
2023-01-09,3160.14306640625,3166.8537588111644,3066.0987904813705,3073.5710211004657,2885060
2023-01-10,3128.2080078125,3139.2497311139796,3074.618211958345,3126.8754902090427,3864655
2023-01-11,3168.471923828125,3188.2707557123163,3113.6920648436417,3131.730086497584,2720512
2023-01-12,3173.850341796875,3188.7469322711963,3155.9552379081492,3168.7577723972577,2250391
2023-01-13,3212.114990234375,3216.350741566602,3145.912755512761,3181.9883337929095,1742837
2023-01-16,3237.850341796875,3256.2535166083794,3202.8890752898956,3221.2922501014,1843607
2023-01-17,3280.92041015625,3284.2224496780864,3225.1767100069765,3233.9170262942584,1688475
2023-01-18,3292.185791015625,3310.588965053527,3274.9479450597173,3282.4743285052546,2421189
2023-01-19,3275.7734375,3289.2722752348,3264.022473299133,3282.474251636736,1585044
2023-01-20,3266.06201171875,3296.7014858868847,3258.7784149251365,3267.907094734632,1529349
2023-01-23,3316.36767578125,3320.3494707748314,3258.778885166687,3290.2439330170014,1067916
2023-01-24,3337.149658203125,3352.3480010472454,3318.697880824871,3326.175658974706,1387863
2023-01-25,3330.788818359375,3335.8873361220067,3306.7529489069675,3326.467265008394,874110
2023-01-27,3312.62841796875,3346.569931520669,3284.707963664856,3327.1470067875252,1785879
2023-01-30,3334.576416015625,3358.6608918038683,3287.8644209932063,3321.3203637881347,1953798
2023-01-31,3261.788818359375,3349.483370968076,3254.311039754718,3349.483370968076,2820375
2023-02-01,3310.006591796875,3320.3492050700966,3258.195841769574,3265.9650121821396,2205161
2023-02-02,3360.554443359375,3368.906396083816,3321.4174385243655,3328.11825291993,1813847
2023-02-03,3381.822509765625,3402.8963351984903,3353.270668805015,3402.8963351984903,1804469
2023-02-06,3360.11767578125,3372.9367598367994,3337.684337958106,3372.9367598367994,1138714
2023-02-07,3372.35400390625,3392.213897570686,3361.5255808131365,3368.809177787594,1455647
2023-02-08,3418.531982421875,3437.76048834277,3377.6952355131557,3377.6952355131557,1986946
2023-02-09,3438.683349609375,3445.2385869025966,3404.159052445824,3413.5791238034985,1655427
2023-02-10,3435.478515625,3440.140065114155,3406.9266731890866,3418.4348512626634,1187821
2023-02-13,3381.91943359375,3446.5978653819325,3373.179117789738,3446.5978653819325,1087939
2023-02-14,3399.109130859375,3423.1450008749507,3394.1561900782694,3403.867652710825,1579818
2023-02-15,3419.066162109375,3424.261889707364,3360.3118103432676,3386.387183610204,1429449
2023-02-16,3455.38671875,3471.8475991083437,3425.232582393043,3425.4267642101095,1618931
2023-02-17,3400.128662109375,3436.78943373435,3389.300476057322,3424.4073188146567,1061369
2023-02-20,3386.67822265625,3420.376948695185,3374.7816815939227,3400.9540245117937,1296082
2023-02-21,3351.42529296875,3407.6545590293886,3345.3556296592587,3393.1845765380504,1139541
2023-02-22,3303.40234375,3347.5408903153284,3297.041288836826,3316.415607754043,1218430
2023-02-23,3315.298828125,3352.7849278659846,3309.6661329442877,3322.291033099298,1441570
2023-02-24,3302.334228515625,3334.867627990347,3284.708018862598,3323.748050813014,977592
2023-02-27,3235.71337890625,3292.1854324143355,3220.320617665468,3292.1854324143355,1128022
2023-02-28,3217.26220703125,3294.1283440414686,3204.685672408674,3232.460552223475,4116217
2023-03-01,3288.009765625,3291.214595624823,3219.3497741210645,3227.1189440133626,1669307
2023-03-02,3225.61376953125,3272.6657594544995,3222.2633622790545,3264.0226523869505,1556538
2023-03-03,3245.716064453125,3261.1088260255383,3234.9850889938443,3257.2242413608265,1043190
2023-03-06,3274.559814453125,3306.704615392494,3262.0804894006255,3264.896718890567,1334132
2023-03-08,3292.57421875,3298.01273270014,3234.742648052361,3266.936052062212,1844590
